feature_1,feature_2,feature_3,feature_4,feature_5,target
87,153,165,10,13,0
99,144,185,6,40,1
31,96,270,23,28,1
38,81,79,7,37,1
99,77,463,19,62,1
25,120,333,2,59,0
13,168,85,3,42,0
44,161,292,19,29,1
37,102,322,18,42,1
91,154,77,21,69,1
85,184,424,9,40,1
21,146,93,6,51,0
29,24,254,10,4,1
30,129,342,2,17,0
19,156,98,9,33,1
58,161,314,23,60,1
24,199,475,11,16,1
47,3,53,19,50,0
21,40,274,22,24,1
18,69,66,3,56,1
97,29,100,3,18,1
78,196,231,11,55,1
45,1,159,19,56,1
36,130,174,14,64,1
67,150,266,7,37,0
30,93,423,13,10,0
53,131,415,9,39,0
30,139,260,9,39,1
38,5,380,11,7,0
94,165,219,3,34,1
79,55,90,14,35,1
68,98,60,19,51,1
45,127,209,15,9,1
98,83,394,10,55,0
39,88,86,20,24,1
58,136,167,11,20,1
95,28,451,22,32,0
13,68,387,18,18,1
69,200,289,13,12,1
92,130,147,11,43,1
23,29,241,18,37,1
96,17,340,5,12,0
23,69,499,15,48,1
20,65,351,2,9,0
100,193,84,17,49,1
93,191,134,8,38,1
56,68,420,20,24,1
39,112,192,8,7,0
37,194,393,14,46,0
91,185,117,19,38,0
74,118,114,2,21,0
58,117,298,4,46,0
22,41,281,16,58,1
41,42,266,8,46,0
55,46,292,3,8,0
87,37,115,21,37,1
97,164,258,17,48,1
22,41,392,13,26,0
10,103,436,6,36,1
13,15,463,4,13,0
58,136,492,5,39,0
90,175,86,16,9,0
68,185,326,8,35,0
64,36,152,13,58,1
43,17,82,7,23,0
89,185,412,17,49,0
21,128,439,15,5,0
55,175,111,5,5,0
51,93,81,1,37,1
87,51,99,7,32,0
