feature_1,feature_2,feature_3,feature_4,feature_5
91,197,499,13,62
24,199,475,11,16
13,15,463,4,13
45,59,207,8,31
41,9,172,7,68
38,81,79,7,37
27,103,173,18,20
23,69,499,15,48
96,17,340,5,12
79,55,90,14,35
21,146,93,6,51
85,184,424,9,40
64,81,298,15,24
14,55,467,8,60
13,168,85,3,42
21,128,439,15,5
37,102,322,18,42
39,165,442,4,17
74,118,114,2,21
87,37,115,21,37
13,68,387,18,18
81,36,293,1,17
35,64,331,3,23
93,191,134,8,38
99,144,185,6,40
79,138,320,14,30
63,68,496,16,47
38,192,360,16,30
67,150,266,7,37
85,110,158,13,68
45,150,326,2,66
10,103,436,6,36
30,93,423,13,10
99,57,403,1,15
64,36,152,13,58
53,131,415,9,39
45,127,209,15,9
29,24,254,10,4
37,194,393,14,46
53,13,382,23,20
23,29,241,18,37
21,40,274,22,24
58,161,314,23,60
22,41,281,16,58
55,175,111,5,5
54,109,176,7,18
87,153,165,10,13
43,17,82,7,23
15,99,223,2,8
68,98,60,19,51
78,153,351,18,22
25,120,333,2,59
58,136,167,11,20
20,65,351,2,9
80,142,162,2,43
47,3,53,19,50
90,175,86,16,9
89,185,412,17,49
56,30,373,17,30
83,175,80,6,35
34,138,167,2,17
100,193,84,17,49
18,69,66,3,56
15,197,490,6,23
94,165,219,3,34
39,88,86,20,24
47,29,313,3,26
20,76,171,22,56
39,112,192,8,7
22,41,392,13,26
58,117,298,4,46
45,1,159,19,56
68,185,326,8,35
91,185,117,19,38
56,68,420,20,24
30,129,342,2,17
57,196,345,20,52
55,46,292,3,8
36,130,174,14,64
95,28,451,22,32
44,161,292,19,29
99,77,463,19,62
97,164,258,17,48
92,130,147,11,43
19,156,98,9,33
87,51,99,7,32
91,40,387,22,7
31,96,270,23,28
78,196,231,11,55
41,42,266,8,46
30,139,260,9,39
69,200,289,13,12
58,136,492,5,39
44,1,423,22,48
91,154,77,21,69
98,83,394,10,55
81,126,384,15,46
38,5,380,11,7
97,29,100,3,18
51,93,81,1,37
